id,구    분,6:00,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,
1,B113(41),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,전103(90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
3,강111 (210),일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,
4,"151호
(대연회장)",입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,
5,153(56),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물백묵
6,154(56),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물백묵
7,"251(40)
촬영강의실",경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,PDP
8,"252(30)
(임시)",경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,경영대학대학원,PDP
9,"253(60)
촬영강의실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDP
10,254(25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
11,255(20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
12,256(15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
13,201(64),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
14,202(65),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
15,209(69),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
16,210(69),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
17,211(69),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
18,212(69),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
19,213(162),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
20,"306(69)
촬영강의실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
21,"307(70)
촬영강의실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
22,"308(96)
촬영강의실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
23,309(96),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
24,"401(69)
촬영강의실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화이트보드
25,"414(50) 
회의실",2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,2025-1학기 전임교원 채용 학과심사,
26,422(96),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
27,"423(60)
최고경영자실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
28,"516(40)
세미나실",일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,PDP
29,"517(32)
세미나실",일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,일반대학원,PDP
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
